12/31/20,0.09%
1/04/21,0.09%
1/05/21,0.09%
1/06/21,0.09%
1/07/21,0.09%
1/08/21,0.09%
1/11/21,0.09%
1/12/21,0.09%
1/13/21,0.09%
1/14/21,0.09%
1/15/21,0.09%
1/19/21,0.09%
1/20/21,0.09%
1/21/21,0.08%
1/22/21,0.08%
1/25/21,0.08%
1/26/21,0.08%
1/27/21,0.08%
1/28/21,0.07%
1/29/21,0.07%
2/01/21,0.08%
2/02/21,0.08%
2/03/21,0.08%
2/04/21,0.08%
2/05/21,0.08%
2/08/21,0.07%
2/09/21,0.08%
2/10/21,0.08%
2/11/21,0.08%
2/12/21,0.08%
2/16/21,0.08%
2/17/21,0.08%
2/18/21,0.07%
2/19/21,0.07%
2/22/21,0.07%
2/23/21,0.07%
2/24/21,0.07%
2/25/21,0.07%
2/26/21,0.07%
3/01/21,0.07%
3/02/21,0.07%
3/03/21,0.07%
3/04/21,0.07%
3/05/21,0.07%
3/08/21,0.07%
3/09/21,0.07%
3/10/21,0.07%
3/11/21,0.07%
3/12/21,0.07%
3/15/21,0.07%
3/16/21,0.07%
3/17/21,0.07%
3/18/21,0.07%
3/19/21,0.07%
3/22/21,0.07%
3/23/21,0.07%
3/24/21,0.07%
3/25/21,0.07%
3/26/21,0.07%
3/29/21,0.07%
3/30/21,0.07%
3/31/21,0.06%
4/01/21,0.07%
4/05/21,0.07%
4/06/21,0.07%
4/07/21,0.07%
4/08/21,0.07%
4/09/21,0.07%
4/12/21,0.07%
4/13/21,0.07%
4/14/21,0.07%
4/15/21,0.07%
4/16/21,0.07%
4/19/21,0.07%
4/20/21,0.07%
4/21/21,0.07%
4/22/21,0.07%
4/23/21,0.07%
4/26/21,0.07%
4/27/21,0.07%
4/28/21,0.07%
4/29/21,0.06%
4/30/21,0.05%
5/03/21,0.06%
5/04/21,0.06%
5/05/21,0.06%
5/06/21,0.06%
5/07/21,0.06%
5/10/21,0.06%
5/11/21,0.06%
5/12/21,0.06%
5/13/21,0.06%
5/14/21,0.06%
5/17/21,0.06%
5/18/21,0.06%
5/19/21,0.06%
5/20/21,0.06%
5/21/21,0.06%
5/24/21,0.06%
5/25/21,0.06%
5/26/21,0.06%
5/27/21,0.06%
5/28/21,0.05%
6/01/21,0.06%
6/02/21,0.06%
6/03/21,0.06%
6/04/21,0.06%
6/07/21,0.06%
6/08/21,0.06%
6/09/21,0.06%
6/10/21,0.06%
6/11/21,0.06%
6/14/21,0.06%
6/15/21,0.06%
6/16/21,0.06%
6/17/21,0.10%
6/18/21,0.10%
6/21/21,0.10%
6/22/21,0.10%
6/23/21,0.10%
6/24/21,0.10%
6/25/21,0.10%
6/28/21,0.10%
6/29/21,0.10%
6/30/21,0.08%
7/01/21,0.10%
7/02/21,0.10%
7/06/21,0.10%
7/07/21,0.10%
7/08/21,0.10%
7/09/21,0.10%
7/12/21,0.10%
7/13/21,0.10%
7/14/21,0.10%
7/15/21,0.10%
7/16/21,0.10%
7/19/21,0.10%
7/20/21,0.10%
7/21/21,0.10%
7/22/21,0.10%
7/23/21,0.10%
7/26/21,0.10%
7/27/21,0.10%
7/28/21,0.10%
7/29/21,0.10%
7/30/21,0.07%
8/02/21,0.10%
8/03/21,0.10%
8/04/21,0.10%
8/05/21,0.10%
8/06/21,0.10%
8/09/21,0.10%
8/10/21,0.10%
8/11/21,0.10%
8/12/21,0.10%
8/13/21,0.10%
8/16/21,0.10%
8/17/21,0.10%
8/18/21,0.09%
8/19/21,0.09%
8/20/21,0.09%
8/23/21,0.09%
8/24/21,0.09%
8/25/21,0.09%
8/26/21,0.09%
8/27/21,0.08%
8/30/21,0.08%
8/31/21,0.06%
9/01/21,0.08%
9/02/21,0.08%
9/03/21,0.08%
9/07/21,0.08%
9/08/21,0.08%
9/09/21,0.08%
9/10/21,0.08%
9/13/21,0.08%
9/14/21,0.08%
9/15/21,0.08%
9/16/21,0.08%
9/17/21,0.08%
9/20/21,0.08%
9/21/21,0.08%
9/22/21,0.08%
9/23/21,0.08%
9/24/21,0.08%
9/27/21,0.08%
9/28/21,0.08%
9/29/21,0.08%
9/30/21,0.06%
10/01/21,0.08%
10/04/21,0.08%
10/05/21,0.08%
10/06/21,0.08%
10/07/21,0.08%
10/08/21,0.08%
10/11/21,0.08%
10/12/21,0.08%
10/13/21,0.08%
10/14/21,0.08%
10/15/21,0.08%
10/18/21,0.08%
10/19/21,0.08%
10/20/21,0.08%
10/21/21,0.08%
10/22/21,0.08%
10/25/21,0.08%
10/26/21,0.08%
10/27/21,0.08%
10/28/21,0.08%
10/29/21,0.07%
11/01/21,0.08%
11/02/21,0.08%
11/03/21,0.08%
11/04/21,0.08%
11/05/21,0.08%
11/08/21,0.08%
11/09/21,0.08%
11/10/21,0.08%
11/11/21,0.08%
11/12/21,0.08%
11/15/21,0.08%
11/16/21,0.08%
11/17/21,0.08%
11/18/21,0.08%
11/19/21,0.08%
11/22/21,0.08%
11/23/21,0.08%
11/24/21,0.08%
11/26/21,0.08%
11/29/21,0.08%
11/30/21,0.07%
12/01/21,0.08%
12/02/21,0.08%
12/03/21,0.08%
12/06/21,0.08%
12/07/21,0.08%
12/08/21,0.08%
12/09/21,0.08%
12/10/21,0.08%
12/13/21,0.08%
12/14/21,0.08%
12/15/21,0.08%
12/16/21,0.08%
12/17/21,0.08%
12/20/21,0.08%
12/21/21,0.08%
12/22/21,0.08%
12/23/21,0.08%
12/27/21,0.08%
12/28/21,0.08%
12/29/21,0.08%
12/30/21,0.08%
12/31/21,0.07%
1/03/22,0.08%
1/04/22,0.08%
1/05/22,0.08%
